Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
oregon,1,1,0,79.9,62.2,16.1
stanford,4,4,0,64.1,49.8,13.8
southern-california,26,26,0,36.0,32.0,11.7
washington,60,60,0,22.3,15.5,5.8
arizona,31,31,0,33.1,29.7,9.7
arizona-state,36,36,0,30.4,31.7,9.1
oregon-state,57,57,0,23.2,23.8,9.2
california,51,51,0,25.1,28.3,9.3
ucla,77,77,0,15.6,12.4,7.8
washington-state,102,102,0,6.8,-1.8,12.8
south-carolina,23,23,0,38.0,29.6,10.3
florida,34,34,0,31.7,27.3,9.6
georgia,44,44,0,27.7,26.2,9.3
tennessee,62,63,1,21.9,14.7,8.0
kentucky,59,59,0,22.4,15.6,6.1
vanderbilt,104,104,0,6.3,-3.8,4.7
auburn,3,3,0,67.6,47.5,13.8
louisiana-state,13,12,-1,45.2,31.1,9.8
arkansas,15,15,0,44.4,30.1,9.3
alabama,9,9,0,48.1,40.9,11.8
mississippi-state,25,25,0,36.6,29.4,9.2
mississippi,75,74,-1,15.7,12.7,7.4
missouri,17,17,0,42.7,27.8,9.5
nebraska,14,14,0,44.9,34.5,10.4
kansas-state,55,54,-1,23.9,13.4,6.1
iowa-state,80,80,0,14.7,4.5,4.8
colorado,73,71,-2,16.4,8.5,6.0
kansas,106,106,0,5.7,-10.9,4.7
oklahoma,11,11,0,46.9,32.2,9.1
oklahoma-state,12,13,1,45.4,31.4,9.5
texas-am,20,19,-1,40.0,29.1,8.9
baylor,48,48,0,25.8,16.7,7.1
texas-tech,61,61,0,22.1,10.1,5.1
texas,69,70,1,18.2,12.5,7.0
florida-state,21,21,0,39.7,32.3,10.4
maryland,35,35,0,31.7,21.6,9.7
north-carolina-state,29,29,0,34.5,26.1,8.5
boston-college,49,49,0,25.5,16.2,7.3
clemson,46,46,0,27.0,24.9,8.1
wake-forest,91,91,0,10.1,3.1,6.2
virginia-tech,10,10,0,47.5,33.1,10.1
miami-fl,33,33,0,31.8,27.3,8.6
north-carolina,50,50,0,25.2,15.6,6.0
georgia-tech,47,47,0,26.8,24.6,7.2
virginia,84,84,0,12.5,4.1,5.0
duke,98,98,0,8.5,-1.8,5.8
ohio-state,6,6,0,61.5,46.6,12.5
michigan-state,16,16,0,44.0,25.1,8.8
wisconsin,7,7,0,57.3,41.4,12.0
iowa,32,32,0,32.3,28.3,10.6
illinois,38,38,0,29.7,30.3,11.0
penn-state,53,52,-1,24.4,14.3,6.3
michigan,43,42,-1,28.1,20.8,7.7
northwestern,67,68,1,18.7,4.2,4.6
purdue,82,82,0,13.2,6.0,4.9
minnesota,89,90,1,10.3,3.7,5.5
indiana,85,85,0,11.9,-1.8,3.9
navy,24,24,0,37.2,25.0,9.3
notre-dame,39,39,0,29.5,23.4,7.7
army,63,64,1,21.6,14.2,11.3
west-virginia,22,20,-2,39.6,28.5,8.7
connecticut,41,41,0,29.0,17.4,6.4
pittsburgh,40,40,0,29.4,23.2,8.5
syracuse,58,58,0,22.5,10.9,6.6
south-florida,52,53,1,24.5,14.4,5.8
louisville,56,56,0,23.6,18.0,10.0
cincinnati,74,73,-1,15.8,12.9,5.9
rutgers,88,88,0,10.7,-0.6,6.4
nevada,8,8,0,54.8,37.5,11.3
boise-state,5,5,0,62.1,47.4,14.5
hawaii,28,28,0,34.9,20.3,15.9
fresno-state,64,55,-9,21.4,7.3,7.1
louisiana-tech,79,78,-1,14.8,4.7,7.7
idaho,87,87,0,11.3,-5.1,3.8
utah-state,92,93,1,9.8,-2.9,4.2
new-mexico-state,119,118,-1,0.9,-25.4,8.6
san-jose-state,113,114,1,2.4,-15.4,4.8
texas-christian,2,2,0,68.9,49.6,13.5
utah,18,18,0,41.9,26.7,9.8
air-force,27,27,0,35.8,28.1,9.8
san-diego-state,42,43,1,28.2,15.9,5.8
brigham-young,54,62,8,24.2,16.6,7.0
colorado-state,109,109,0,4.4,-14.9,7.0
nevada-las-vegas,111,111,0,3.3,-15.0,4.1
wyoming,103,103,0,6.6,-8.1,6.3
new-mexico,121,121,0,0.0,-29.1,8.1
central-florida,30,30,0,34.1,19.2,8.1
southern-mississippi,45,45,0,27.1,14.2,6.6
east-carolina,83,83,0,12.5,-4.2,4.4
marshall,96,96,0,8.7,-9.3,4.0
alabama-birmingham,94,95,1,9.3,-4.2,4.4
memphis,120,120,0,0.6,-25.8,6.6
tulsa,37,37,0,30.0,14.5,7.5
southern-methodist,68,69,1,18.6,6.0,4.3
houston,81,81,0,14.2,3.3,5.6
texas-el-paso,95,89,-6,8.8,-10.3,4.0
rice,97,97,0,8.6,-6.3,6.2
tulane,107,107,0,5.1,-15.4,7.0
miami-oh,78,76,-2,15.4,-5.4,4.2
ohio,71,67,-4,17.3,0.2,7.3
temple,65,65,0,21.1,4.7,7.3
kent-state,86,86,0,11.6,-2.6,4.6
bowling-green-state,115,115,0,1.5,-23.3,6.5
