Conference,Score
Southeastern Conference,36.3
Pacific-10 Conference,33.2
Big 12 Conference,32.1
Big Ten Conference,30.4
Atlantic Coast Conference,26.1
Big East Conference,24.8
Mountain West Conference,21.5
Western Athletic Conference,21.4
Independent,20.2
Conference USA,15.9
Mid-American Conference,13.5
Sun Belt Conference,10.0
FCS,1.2
