Division,Score
Southeastern Conference - West,39.2
Big 12 Conference - South,36.4
Southeastern Conference - East,33.4
Pacific-10 Conference,33.2
Big Ten Conference,30.4
Atlantic Coast Conference - Atlantic,30.0
Big 12 Conference - North,27.9
Big East Conference,24.8
Atlantic Coast Conference - Coastal,22.2
Mountain West Conference,21.5
Western Athletic Conference,21.4
Independent,20.2
Conference USA - East,16.6
Conference USA - West,15.2
Mid-American Conference - East,13.5
Mid-American Conference - West,13.4
Sun Belt Conference,10.0
FCS,1.2
