Division,Score
Southeastern Conference - West,43.8
Pacific-10 Conference,33.5
Big 12 Conference - South,33.1
Big Ten Conference,30.6
Independent,29.7
Atlantic Coast Conference - Atlantic,29.0
Southeastern Conference - East,26.5
Big 12 Conference - North,25.4
Atlantic Coast Conference - Coastal,25.1
Big East Conference,24.4
Western Athletic Conference,23.7
Mountain West Conference,23.4
Mid-American Conference - West,16.1
Conference USA - East,15.7
Conference USA - West,15.0
Mid-American Conference - East,10.3
Sun Belt Conference,8.6
FCS,1.0
