Division,Score
Southeastern Conference - West,46.3
Pacific-10 Conference,36.9
Big 12 Conference - South,35.0
Big Ten Conference,33.4
Atlantic Coast Conference - Atlantic,29.6
Big 12 Conference - North,28.4
Atlantic Coast Conference - Coastal,27.9
Independent,27.7
Big East Conference,26.9
Southeastern Conference - East,26.7
Mountain West Conference,25.4
Western Athletic Conference,25.1
Conference USA - East,18.1
Conference USA - West,17.6
Mid-American Conference - West,15.2
Mid-American Conference - East,13.6
Sun Belt Conference,10.5
FCS,1.4
