Division,Score
Southeastern Conference - West,43.0
Pacific-10 Conference,33.7
Big 12 Conference - South,33.0
Big Ten Conference,30.3
Independent,29.6
Atlantic Coast Conference - Atlantic,28.1
Atlantic Coast Conference - Coastal,25.5
Big 12 Conference - North,24.7
Southeastern Conference - East,24.7
Big East Conference,24.5
Western Athletic Conference,24.0
Mountain West Conference,23.4
Conference USA - East,15.6
Mid-American Conference - West,15.2
Conference USA - West,14.6
Mid-American Conference - East,10.7
Sun Belt Conference,8.4
FCS,1.0
