Conference,Score
Southeastern Conference,33.7
Pacific-10 Conference,33.5
Big Ten Conference,30.1
Big 12 Conference,28.9
Independent,28.1
Atlantic Coast Conference,26.5
Big East Conference,24.4
Mountain West Conference,23.7
Western Athletic Conference,23.1
Conference USA,15.1
Mid-American Conference,12.4
Sun Belt Conference,8.9
FCS,0.9
