Division,Score
Southeastern Conference - West,36.3
Big 12 Conference - South,34.9
Southeastern Conference - East,31.1
Pacific-10 Conference,29.5
Atlantic Coast Conference - Atlantic,29.3
Big Ten Conference,28.0
Big 12 Conference - North,23.6
Big East Conference,23.5
Mountain West Conference,21.3
Atlantic Coast Conference - Coastal,19.9
Independent,17.5
Western Athletic Conference,17.4
Conference USA - West,15.7
Conference USA - East,14.4
Mid-American Conference - West,11.2
Mid-American Conference - East,11.0
Sun Belt Conference,10.1
FCS,0.7
