Division,Score
Southeastern Conference - West,34.7
Southeastern Conference - East,33.0
Big 12 Conference - South,31.4
Atlantic Coast Conference - Atlantic,28.0
Pacific-10 Conference,27.4
Big Ten Conference,27.1
Big 12 Conference - North,25.3
Atlantic Coast Conference - Coastal,24.8
Big East Conference,23.7
Mountain West Conference,22.0
Independent,20.7
Western Athletic Conference,18.6
Conference USA - East,15.6
Conference USA - West,13.8
Mid-American Conference - East,13.4
Mid-American Conference - West,11.4
Sun Belt Conference,11.2
FCS,0.6
