Division,Score
Southeastern Conference - West,42.9
Pacific-10 Conference,33.5
Big 12 Conference - South,33.0
Big Ten Conference,30.1
Independent,28.1
Atlantic Coast Conference - Atlantic,28.0
Atlantic Coast Conference - Coastal,25.1
Big 12 Conference - North,24.7
Southeastern Conference - East,24.6
Big East Conference,24.4
Mountain West Conference,23.7
Western Athletic Conference,23.1
Conference USA - East,15.3
Mid-American Conference - West,15.2
Conference USA - West,14.9
Mid-American Conference - East,10.0
Sun Belt Conference,8.9
FCS,0.9
