Division,Score
Southeastern Conference - West,42.9
Pacific-10 Conference,35.1
Big 12 Conference - South,34.9
Big Ten Conference,33.9
Southeastern Conference - East,31.6
Atlantic Coast Conference - Atlantic,31.1
Big 12 Conference - North,30.4
Atlantic Coast Conference - Coastal,25.6
Big East Conference,24.7
Mountain West Conference,23.7
Independent,22.6
Western Athletic Conference,20.6
Conference USA - East,17.7
Conference USA - West,16.7
Mid-American Conference - West,14.1
Mid-American Conference - East,12.1
Sun Belt Conference,10.2
FCS,1.1
