Division,Score
Southeastern Conference - West,42.9
Pacific-10 Conference,33.6
Big 12 Conference - South,33.0
Big Ten Conference,30.1
Independent,29.5
Atlantic Coast Conference - Atlantic,28.1
Atlantic Coast Conference - Coastal,25.4
Big 12 Conference - North,24.7
Southeastern Conference - East,24.7
Big East Conference,24.4
Mountain West Conference,23.7
Western Athletic Conference,23.6
Conference USA - East,15.4
Mid-American Conference - West,15.3
Conference USA - West,14.2
Mid-American Conference - East,10.0
Sun Belt Conference,8.9
FCS,1.0
