Conference,Score
Southeastern Conference,42.0
Pac-12 Conference,40.4
Atlantic Coast Conference,37.1
Big Ten Conference,36.2
Big 12 Conference,33.7
American Athletic Conference,24.5
Independent,24.0
Mountain West Conference,22.5
Sun Belt Conference,20.6
Conference USA,19.6
Mid-American Conference,17.2
FCS,2.9
