Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
stanford,9,8,-1,61.6,70.2,9.7
oregon,1,1,0,88.3,94.0,19.2
washington,30,35,5,44.5,64.3,10.4
oregon-state,49,39,-10,34.4,39.6,3.9
washington-state,72,75,3,25.1,38.2,5.7
california,109,110,1,9.1,24.5,4.8
arizona-state,16,17,1,51.6,69.1,8.0
ucla,27,16,-11,45.8,60.1,9.4
southern-california,32,41,9,42.0,60.0,5.7
arizona,19,29,10,49.5,65.7,8.6
utah,43,38,-5,37.2,62.5,9.1
colorado,96,97,1,14.6,24.4,5.7
missouri,6,6,0,63.7,73.0,9.6
south-carolina,17,23,6,51.5,65.3,7.8
georgia,34,34,0,41.2,63.6,9.1
vanderbilt,66,58,-8,26.8,41.6,3.3
florida,33,33,0,41.3,63.7,10.2
tennessee,52,45,-7,32.9,53.9,6.7
kentucky,99,102,3,13.3,36.6,2.8
auburn,8,9,1,63.3,72.4,10.4
alabama,4,3,-1,76.4,79.7,12.9
louisiana-state,13,11,-2,53.1,64.7,9.5
texas-am,26,28,2,46.2,57.3,7.6
mississippi,38,42,4,39.4,55.6,5.9
mississippi-state,46,49,3,35.8,53.7,8.1
arkansas,83,84,1,20.2,36.5,4.9
baylor,2,2,0,79.9,85.7,14.8
oklahoma,22,20,-2,48.5,52.7,9.9
oklahoma-state,21,19,-2,49.3,55.8,11.5
texas,41,46,5,38.3,48.3,7.2
kansas-state,65,74,9,26.9,47.2,6.0
texas-tech,31,13,-18,42.3,44.4,5.0
texas-christian,80,66,-14,21.3,39.2,4.5
west-virginia,93,82,-11,16.7,28.1,2.5
iowa-state,106,104,-2,9.4,22.5,6.4
kansas,102,101,-1,11.2,18.9,5.0
ohio-state,3,5,2,76.9,80.3,12.1
wisconsin,11,10,-1,55.6,75.5,10.7
penn-state,62,44,-18,28.6,40.5,5.5
indiana,70,73,3,25.5,44.1,3.8
illinois,89,76,-13,18.0,27.6,6.3
purdue,113,113,0,6.8,12.8,6.5
michigan-state,20,26,6,49.4,53.9,5.2
nebraska,42,25,-17,37.5,47.0,5.3
iowa,44,51,7,36.1,49.9,5.6
minnesota,45,55,10,36.1,42.2,3.0
michigan,28,24,-4,45.3,50.4,8.7
northwestern,63,61,-2,27.6,43.3,7.3
florida-state,5,4,-1,74.9,79.6,13.7
clemson,14,15,1,53.0,58.7,7.4
boston-college,74,71,-3,23.7,40.1,7.2
syracuse,71,70,-1,25.2,43.4,5.1
maryland,67,59,-8,26.4,33.3,4.0
wake-forest,76,78,2,22.8,33.6,4.8
north-carolina-state,81,81,0,20.5,33.0,4.5
duke,29,37,8,45.0,55.5,3.8
miami-fl,7,7,0,63.4,65.5,9.8
virginia-tech,24,18,-6,47.1,58.6,5.8
georgia-tech,12,22,10,54.6,81.6,13.6
north-carolina,82,93,11,20.3,43.7,3.9
pittsburgh,57,56,-1,30.3,48.7,4.2
virginia,88,88,0,18.4,43.3,4.4
central-florida,25,27,2,46.6,52.1,4.6
louisville,15,14,-1,52.6,58.2,7.4
cincinnati,58,52,-6,29.9,35.0,7.4
houston,18,30,12,51.4,58.7,4.4
southern-methodist,95,96,1,15.3,21.7,5.4
rutgers,64,53,-11,27.0,37.5,3.9
connecticut,119,117,-2,3.1,5.1,9.1
south-florida,105,105,0,9.6,14.3,9.6
memphis,92,98,6,16.8,44.0,8.4
temple,110,111,1,8.3,21.3,6.9
utah-state,39,40,1,38.6,65.2,9.8
boise-state,40,32,-8,38.4,53.8,7.1
colorado-state,77,86,9,22.4,32.9,8.2
wyoming,84,83,-1,20.1,28.2,4.3
new-mexico,97,100,3,14.5,27.9,3.2
air-force,108,108,0,9.3,25.4,5.9
fresno-state,37,31,-6,39.7,36.6,3.1
san-diego-state,94,87,-7,16.4,24.0,7.1
nevada-las-vegas,90,91,1,17.8,18.5,8.4
san-jose-state,79,80,1,21.7,27.8,5.1
nevada,100,90,-10,12.7,18.5,4.9
hawaii,115,115,0,4.5,12.7,7.1
new-mexico-state,126,126,0,0.0,-12.0,15.7
navy,50,60,10,34.3,50.9,8.4
brigham-young,10,12,2,58.0,75.0,10.2
army,85,85,0,20.1,36.2,2.7
idaho,116,118,2,3.5,2.0,11.7
notre-dame,36,36,0,40.1,48.2,7.5
louisiana-lafayette,35,43,8,40.2,51.1,6.8
arkansas-state,78,69,-9,22.4,37.3,12.2
western-kentucky,68,62,-6,26.1,40.2,4.8
louisiana-monroe,91,92,1,16.9,21.9,6.8
south-alabama,86,79,-7,19.9,31.9,6.9
troy,69,72,3,26.0,32.6,7.9
texas-state,73,77,4,23.8,28.9,3.8
georgia-state,124,120,-4,0.9,-6.7,13.1
marshall,55,48,-7,31.3,45.5,4.8
east-carolina,47,50,3,35.2,43.4,7.7
middle-tennessee-state,75,89,14,22.8,33.7,3.2
florida-atlantic,98,94,-4,14.3,30.8,8.1
alabama-birmingham,104,103,-1,10.4,16.7,6.2
florida-international,125,123,-2,0.1,-11.4,13.5
southern-mississippi,122,122,0,1.3,-4.7,10.1
rice,51,57,6,34.1,39.1,2.7
north-texas,56,67,11,30.8,40.8,4.1
texas-san-antonio,87,95,8,18.6,32.7,4.8
tulane,60,68,8,28.9,31.4,6.6
louisiana-tech,103,106,3,11.0,14.4,6.0
tulsa,101,99,-2,11.7,20.1,4.5
texas-el-paso,114,114,0,5.3,7.4,8.0
bowling-green-state,61,54,-7,28.7,37.2,5.8
buffalo,54,64,10,31.4,35.2,6.7
ohio,59,63,4,29.5,32.3,6.9
akron,107,109,2,9.4,18.5,7.2
kent-state,111,107,-4,8.2,14.7,6.4
massachusetts,118,119,1,3.4,1.7,13.2
miami-oh,123,125,2,1.1,-5.6,12.8
northern-illinois,23,21,-2,47.3,44.8,3.5
ball-state,48,47,-1,35.0,33.5,2.5
toledo,53,65,12,31.6,42.2,2.3
central-michigan,112,112,0,7.9,6.9,9.8
eastern-michigan,117,116,-1,3.4,1.8,9.4
western-michigan,121,124,3,2.6,-0.6,11.4
fcs,120,121,1,2.9,6.7,8.7
