Division,Score
Southeastern Conference - West,43.4
Pac-12 Conference - North,41.2
Pac-12 Conference - South,40.1
Atlantic Coast Conference - Coastal,37.8
Big Ten Conference - Legends,37.4
Southeastern Conference - East,35.7
Big Ten Conference - Leaders,34.5
Atlantic Coast Conference - Atlantic,33.6
Big 12 Conference,33.4
American Athletic Conference,25.2
Mountain West Conference - Mountain,22.6
Independent,20.9
Sun Belt Conference,19.3
Conference USA - West,16.8
Mid-American Conference - West,15.9
Conference USA - East,14.8
Mountain West Conference - West,14.6
Mid-American Conference - East,13.2
FCS,2.5
