Division,Score
Southeastern Conference - West,33.6
Big 12 Conference,32.2
Southeastern Conference - East,30.3
Pac-12 Conference - North,30.2
Big Ten Conference - Legends,28.7
Pac-12 Conference - South,26.4
Big Ten Conference - Leaders,25.7
Atlantic Coast Conference - Coastal,25.6
Atlantic Coast Conference - Atlantic,24.7
American Athletic Conference,22.5
Sun Belt Conference,21.9
Mountain West Conference - West,21.8
Mountain West Conference - Mountain,21.7
Independent,20.9
Conference USA - West,20.1
Mid-American Conference - West,18.2
Conference USA - East,15.3
Mid-American Conference - East,14.2
FCS,4.8
