Division,Score
Southeastern Conference - West,46.9
Pac-12 Conference - North,40.7
Pac-12 Conference - South,40.1
Atlantic Coast Conference - Atlantic,38.4
Big Ten Conference - Legends,37.3
Southeastern Conference - East,37.1
Atlantic Coast Conference - Coastal,35.7
Big Ten Conference - Leaders,35.0
Big 12 Conference,33.7
American Athletic Conference,24.5
Independent,24.0
Mountain West Conference - Mountain,23.7
Mountain West Conference - West,21.3
Sun Belt Conference,20.6
Conference USA - West,20.6
Mid-American Conference - West,19.9
Conference USA - East,18.6
Mid-American Conference - East,14.8
FCS,2.9
