Division,Score
Southeastern Conference - West,46.4
Pac-12 Conference - North,41.7
Pac-12 Conference - South,40.8
Big Ten Conference - Legends,38.3
Southeastern Conference - East,37.9
Atlantic Coast Conference - Coastal,37.0
Atlantic Coast Conference - Atlantic,36.6
Big Ten Conference - Leaders,35.8
Big 12 Conference,33.5
American Athletic Conference,24.9
Mountain West Conference - Mountain,24.2
Independent,23.4
Mid-American Conference - West,21.3
Sun Belt Conference,20.8
Mountain West Conference - West,19.6
Conference USA - West,19.1
Conference USA - East,17.3
Mid-American Conference - East,15.6
FCS,2.8
