Division,Score
Southeastern Conference - West,47.0
Pac-12 Conference - South,39.9
Pac-12 Conference - North,39.7
Big Ten Conference - Legends,38.7
Atlantic Coast Conference - Atlantic,38.3
Southeastern Conference - East,37.3
Atlantic Coast Conference - Coastal,35.7
Big Ten Conference - Leaders,35.3
Big 12 Conference,33.3
American Athletic Conference,24.7
Independent,24.5
Mountain West Conference - Mountain,24.3
Mountain West Conference - West,21.5
Mid-American Conference - West,20.7
Conference USA - West,20.7
Sun Belt Conference,20.7
Conference USA - East,18.6
Mid-American Conference - East,15.6
FCS,3.0
