Division,Score
Southeastern Conference - West,47.8
Pac-12 Conference - North,43.8
Pac-12 Conference - South,40.1
Atlantic Coast Conference - Coastal,39.9
Big Ten Conference - Legends,38.7
Southeastern Conference - East,38.7
Big Ten Conference - Leaders,35.2
Atlantic Coast Conference - Atlantic,35.2
Big 12 Conference,34.4
American Athletic Conference,26.1
Independent,26.0
Mountain West Conference - Mountain,23.9
Sun Belt Conference,22.0
Mid-American Conference - West,21.3
Conference USA - West,20.0
Mountain West Conference - West,18.8
Conference USA - East,16.5
Mid-American Conference - East,16.0
FCS,2.9
