Division,Score
Southeastern Conference - West,46.2
Pac-12 Conference - South,41.7
Pac-12 Conference - North,40.7
Big Ten Conference - Legends,38.5
Southeastern Conference - East,38.1
Atlantic Coast Conference - Atlantic,37.7
Big Ten Conference - Leaders,36.6
Atlantic Coast Conference - Coastal,36.0
Big 12 Conference,33.5
American Athletic Conference,24.8
Mountain West Conference - Mountain,24.3
Independent,24.2
Mid-American Conference - West,21.7
Mountain West Conference - West,21.1
Conference USA - West,20.3
Sun Belt Conference,20.3
Conference USA - East,18.9
Mid-American Conference - East,16.2
FCS,2.9
