Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
stanford,9,9,0,65.6,52.9,23.1
oregon,5,5,0,71.6,61.0,23.3
washington,22,28,6,50.2,47.1,19.9
oregon-state,68,57,-11,27.2,14.5,19.8
washington-state,64,70,6,29.1,18.0,18.8
california,110,109,-1,7.4,3.0,16.2
arizona-state,11,11,0,64.0,50.7,24.8
ucla,21,15,-6,51.1,40.1,18.1
southern-california,18,21,3,52.4,39.7,22.1
arizona,27,34,7,47.6,42.8,19.6
utah,61,55,-6,29.6,37.3,20.3
colorado,97,96,-1,14.1,2.9,18.8
missouri,7,7,0,70.4,51.4,24.5
south-carolina,14,14,0,58.0,42.5,20.7
georgia,28,31,3,46.0,40.0,18.8
vanderbilt,50,53,3,35.1,21.9,17.3
florida,73,60,-13,25.1,26.2,17.2
tennessee,74,71,-3,23.6,22.4,15.2
kentucky,101,99,-2,12.2,9.3,17.8
auburn,6,6,0,70.8,51.9,26.6
alabama,3,4,1,81.0,56.9,23.2
louisiana-state,17,22,5,52.6,42.3,18.6
texas-am,30,20,-10,45.0,31.0,18.1
mississippi,34,27,-7,41.6,32.7,19.1
mississippi-state,57,64,7,31.7,31.4,18.0
arkansas,90,86,-4,16.8,13.9,13.8
baylor,4,2,-2,74.7,58.5,24.7
oklahoma,20,24,4,51.7,34.0,15.3
oklahoma-state,12,12,0,62.1,41.0,17.0
texas,45,42,-3,38.5,23.3,20.1
kansas-state,55,48,-7,32.8,24.8,22.1
texas-tech,59,58,-1,31.1,15.3,12.9
texas-christian,79,81,2,20.4,14.5,12.5
west-virginia,89,88,-1,17.2,6.5,14.0
iowa-state,108,112,4,9.6,-0.5,14.9
kansas,104,101,-3,11.5,-2.1,13.6
ohio-state,2,3,1,85.0,61.5,27.1
wisconsin,8,8,0,69.9,58.8,24.6
penn-state,62,59,-3,29.6,18.8,13.2
indiana,77,76,-1,22.3,19.2,17.7
illinois,92,97,5,16.5,4.8,14.2
purdue,114,114,0,5.3,-10.0,13.4
michigan-state,13,13,0,59.2,37.5,22.1
nebraska,37,40,3,40.8,24.6,15.7
iowa,38,45,7,40.3,30.7,20.6
minnesota,40,35,-5,39.9,23.3,20.0
michigan,48,43,-5,36.4,24.1,16.2
northwestern,75,72,-3,23.0,21.0,15.4
florida-state,1,1,0,86.8,63.6,23.9
clemson,10,10,0,65.1,44.8,20.8
boston-college,47,52,5,37.3,25.6,24.0
syracuse,65,63,-2,28.4,24.3,16.3
maryland,70,65,-5,26.5,13.1,13.7
wake-forest,82,82,0,18.9,10.6,20.0
north-carolina-state,95,91,-4,15.5,9.8,15.6
duke,26,25,-1,49.2,30.6,20.2
miami-fl,29,29,0,45.0,31.0,21.0
virginia-tech,36,36,0,41.4,32.4,19.7
georgia-tech,16,19,3,55.8,56.4,22.8
north-carolina,53,61,8,33.6,26.4,18.5
pittsburgh,60,68,8,29.6,22.7,18.1
virginia,98,100,2,13.4,13.5,15.5
central-florida,23,23,0,50.0,27.1,18.7
louisville,19,17,-2,52.4,29.0,18.5
cincinnati,35,41,6,41.5,20.1,14.6
houston,46,33,-13,37.4,25.8,19.8
southern-methodist,87,92,5,17.4,-1.7,14.0
rutgers,78,75,-3,21.5,6.5,12.1
connecticut,113,118,5,5.5,-11.1,16.4
south-florida,109,106,-3,8.7,-6.1,19.7
memphis,84,84,0,18.3,14.7,19.7
temple,112,110,-2,6.9,-2.2,16.3
utah-state,31,32,1,43.8,36.4,19.4
boise-state,39,30,-9,40.0,30.1,20.4
colorado-state,72,66,-6,26.0,15.3,23.6
wyoming,93,95,2,16.5,-1.3,14.2
new-mexico,100,98,-2,12.6,1.3,15.2
air-force,107,104,-3,9.7,-0.1,13.8
fresno-state,25,26,1,49.3,20.9,17.3
san-diego-state,69,73,4,26.5,7.7,20.2
nevada-las-vegas,80,89,9,20.2,1.3,19.1
san-jose-state,85,83,-2,18.2,2.4,15.3
nevada,94,93,-1,15.5,2.3,13.7
hawaii,116,115,-1,4.0,-6.6,16.9
new-mexico-state,123,122,-1,1.6,-28.6,20.9
navy,41,47,6,39.5,29.2,17.9
brigham-young,24,16,-8,49.4,45.8,23.7
army,88,87,-1,17.3,11.8,16.8
idaho,119,119,0,3.0,-21.7,18.2
notre-dame,32,38,6,43.2,28.2,17.5
louisiana-lafayette,42,39,-3,39.2,18.3,20.3
arkansas-state,63,62,-1,29.3,12.3,15.4
western-kentucky,56,67,11,31.8,16.5,15.8
louisiana-monroe,96,90,-6,15.2,-3.9,13.9
south-alabama,83,94,11,18.3,6.2,18.2
troy,81,85,4,19.3,4.8,14.8
texas-state,86,79,-7,17.6,-3.6,14.4
georgia-state,122,123,1,2.4,-18.9,16.4
marshall,43,46,3,39.0,22.0,18.0
east-carolina,33,37,4,42.4,21.3,21.1
middle-tennessee-state,67,69,2,27.5,9.2,16.8
florida-atlantic,76,80,4,23.0,12.7,21.7
alabama-birmingham,111,111,0,7.4,-8.8,13.5
florida-international,126,126,0,0.0,-36.6,15.2
southern-mississippi,125,125,0,0.3,-34.7,12.0
rice,49,49,0,36.3,17.9,16.6
north-texas,58,51,-7,31.2,15.4,20.8
texas-san-antonio,71,77,6,26.4,12.9,15.8
