Division,Score
Southeastern Conference - West,47.4
Pac-12 Conference - North,40.3
Pac-12 Conference - South,40.3
Atlantic Coast Conference - Atlantic,38.1
Southeastern Conference - East,37.8
Big Ten Conference - Legends,37.7
Atlantic Coast Conference - Coastal,34.0
Big Ten Conference - Leaders,33.6
Big 12 Conference,33.2
American Athletic Conference,24.7
Independent,24.4
Mountain West Conference - Mountain,23.7
Sun Belt Conference,21.0
Mountain West Conference - West,21.0
Conference USA - West,20.1
Mid-American Conference - West,19.7
Conference USA - East,18.2
Mid-American Conference - East,14.9
FCS,2.9
