Division,Score
Southeastern Conference - West,45.2
Pac-12 Conference - South,41.5
Big Ten Conference - Legends,39.4
Pac-12 Conference - North,38.4
Southeastern Conference - East,37.2
Big 12 Conference,36.3
Big Ten Conference - Leaders,35.6
Atlantic Coast Conference - Coastal,35.3
Atlantic Coast Conference - Atlantic,33.4
Mountain West Conference - Mountain,25.1
American Athletic Conference,24.9
Sun Belt Conference,23.6
Independent,23.2
Conference USA - West,19.4
Mid-American Conference - West,18.7
Conference USA - East,18.0
Mountain West Conference - West,17.6
Mid-American Conference - East,15.6
FCS,4.5
