Conference,Score
Southeastern Conference,44.0
Pac-12 Conference,42.3
Big Ten Conference,38.7
Atlantic Coast Conference,38.0
Big 12 Conference,37.3
American Athletic Conference,27.2
Independent,25.2
Sun Belt Conference,23.5
Mountain West Conference,23.2
Mid-American Conference,19.6
Conference USA,18.9
FCS,3.5
