Division,Score
Southeastern Conference - West,49.1
Pac-12 Conference - South,42.7
Pac-12 Conference - North,42.3
Atlantic Coast Conference - Atlantic,39.5
Big Ten Conference - Legends,39.3
Southeastern Conference - East,38.7
Big Ten Conference - Leaders,37.7
Atlantic Coast Conference - Coastal,36.3
Big 12 Conference,35.1
American Athletic Conference,26.1
Mountain West Conference - Mountain,25.7
Independent,25.5
Mid-American Conference - West,22.9
Sun Belt Conference,21.0
Mountain West Conference - West,21.0
Conference USA - West,20.8
Conference USA - East,18.8
Mid-American Conference - East,16.3
FCS,3.2
