Division,Score
Southeastern Conference - West,44.7
Pac-12 Conference - North,40.6
Pac-12 Conference - South,39.6
Southeastern Conference - East,37.3
Big Ten Conference - Legends,36.0
Atlantic Coast Conference - Atlantic,35.4
Atlantic Coast Conference - Coastal,35.4
Big Ten Conference - Leaders,34.2
Big 12 Conference,32.2
American Athletic Conference,24.1
Independent,23.7
Mountain West Conference - Mountain,23.0
Mid-American Conference - West,20.0
Sun Belt Conference,19.5
Conference USA - West,17.4
Mountain West Conference - West,17.3
Conference USA - East,15.6
Mid-American Conference - East,14.3
FCS,2.3
