Conference,Score
Southeastern Conference,44.9
Pac-12 Conference,44.2
Big Ten Conference,39.9
Atlantic Coast Conference,39.5
Big 12 Conference,38.4
American Athletic Conference,28.3
Independent,25.3
Sun Belt Conference,23.4
Mountain West Conference,23.2
Mid-American Conference,20.1
Conference USA,19.2
FCS,3.9
