Division,Score
Southeastern Conference - West,48.5
Pac-12 Conference - South,43.1
Pac-12 Conference - North,41.9
Big Ten Conference - Legends,39.9
Atlantic Coast Conference - Atlantic,39.8
Southeastern Conference - East,38.6
Atlantic Coast Conference - Coastal,38.3
Big Ten Conference - Leaders,38.1
Big 12 Conference,35.0
American Athletic Conference,26.0
Independent,25.6
Mountain West Conference - Mountain,24.8
Mid-American Conference - West,23.1
Mountain West Conference - West,22.3
Sun Belt Conference,21.6
Conference USA - West,21.2
Conference USA - East,19.9
Mid-American Conference - East,16.8
FCS,3.3
