Division,Score
Pac-12 Conference - North,47.4
Southeastern Conference - West,45.7
Southeastern Conference - East,44.0
Big Ten Conference - Legends,41.8
Pac-12 Conference - South,40.9
Atlantic Coast Conference - Atlantic,39.8
Atlantic Coast Conference - Coastal,39.3
Big 12 Conference,38.4
Big Ten Conference - Leaders,37.9
American Athletic Conference,28.3
Mountain West Conference - Mountain,26.0
Independent,25.3
Sun Belt Conference,23.4
Mid-American Conference - West,22.2
Mountain West Conference - West,20.4
Conference USA - East,19.4
Conference USA - West,19.0
Mid-American Conference - East,18.3
FCS,3.9
