Division,Score
Southeastern Conference - West,47.8
Pac-12 Conference - North,40.8
Pac-12 Conference - South,39.2
Atlantic Coast Conference - Atlantic,38.4
Big Ten Conference - Legends,37.5
Southeastern Conference - East,37.4
Big Ten Conference - Leaders,35.0
Atlantic Coast Conference - Coastal,35.0
Big 12 Conference,34.3
American Athletic Conference,24.7
Independent,24.4
Mountain West Conference - Mountain,23.8
Mountain West Conference - West,21.4
Sun Belt Conference,20.9
Conference USA - West,20.7
Mid-American Conference - West,20.0
Conference USA - East,18.3
Mid-American Conference - East,14.9
FCS,3.0
