Conference,Score
Southeastern Conference,42.1
Pac-12 Conference,41.3
Big Ten Conference,37.1
Atlantic Coast Conference,36.8
Big 12 Conference,33.5
American Athletic Conference,24.9
Independent,23.4
Mountain West Conference,21.9
Sun Belt Conference,20.8
Mid-American Conference,18.3
Conference USA,18.2
FCS,2.8
