Conference,Score
Pac-12 Conference,40.6
Southeastern Conference,39.6
Big Ten Conference,35.9
Atlantic Coast Conference,35.7
Big 12 Conference,33.4
American Athletic Conference,25.2
Independent,20.9
Sun Belt Conference,19.3
Mountain West Conference,18.6
Conference USA,15.8
Mid-American Conference,14.4
FCS,2.5
