Division,Score
Southeastern Conference - West,46.7
Pac-12 Conference - North,44.6
Southeastern Conference - East,41.9
Pac-12 Conference - South,40.8
Big Ten Conference - Legends,40.4
Atlantic Coast Conference - Atlantic,38.7
Big Ten Conference - Leaders,37.5
Atlantic Coast Conference - Coastal,37.3
Big 12 Conference,36.8
American Athletic Conference,27.2
Independent,24.8
Mountain West Conference - Mountain,24.6
Sun Belt Conference,22.8
Mid-American Conference - West,21.3
Mountain West Conference - West,21.1
Conference USA - West,19.5
Conference USA - East,17.5
Mid-American Conference - East,16.9
FCS,3.5
