Division,Score
Southeastern Conference - West,37.8
Southeastern Conference - East,33.2
Big Ten Conference - Legends,32.8
Pac-12 Conference - South,32.6
Big 12 Conference,31.8
Atlantic Coast Conference - Atlantic,30.4
Atlantic Coast Conference - Coastal,29.9
Pac-12 Conference - North,29.8
Big Ten Conference - Leaders,29.4
American Athletic Conference,22.7
Sun Belt Conference,20.6
Independent,19.7
Conference USA - West,19.4
Mountain West Conference - Mountain,18.0
Mid-American Conference - West,17.6
Mountain West Conference - West,16.6
Conference USA - East,14.9
Mid-American Conference - East,13.4
FCS,5.9
