Division,Score
Southeastern Conference - West,46.9
Pac-12 Conference - North,44.0
Southeastern Conference - East,41.0
Pac-12 Conference - South,40.6
Big Ten Conference - Legends,40.3
Atlantic Coast Conference - Coastal,39.1
Big 12 Conference,37.3
Big Ten Conference - Leaders,37.2
Atlantic Coast Conference - Atlantic,36.8
American Athletic Conference,27.2
Mountain West Conference - Mountain,25.2
Independent,25.2
Sun Belt Conference,23.5
Mid-American Conference - West,21.9
Mountain West Conference - West,21.1
Conference USA - West,19.9
Conference USA - East,17.9
Mid-American Conference - East,17.5
FCS,3.5
