Division,Score
Southeastern Conference - West,49.7
Pac-12 Conference - South,46.4
Pac-12 Conference - North,44.0
Big Ten Conference - Legends,42.4
Atlantic Coast Conference - Coastal,39.6
Big Ten Conference - Leaders,38.0
Big 12 Conference,37.9
Southeastern Conference - East,37.7
Atlantic Coast Conference - Atlantic,37.6
Mountain West Conference - Mountain,29.2
American Athletic Conference,28.1
Sun Belt Conference,27.2
Independent,26.2
Conference USA - West,22.3
Mid-American Conference - West,19.8
Mountain West Conference - West,18.7
Conference USA - East,18.6
Mid-American Conference - East,15.9
FCS,4.7
