Division,Score
Pac-12 Conference - North,44.9
Southeastern Conference - West,43.8
Southeastern Conference - East,40.4
Pac-12 Conference - South,39.6
Big Ten Conference - Legends,39.1
Atlantic Coast Conference - Coastal,37.2
Big Ten Conference - Leaders,36.2
Atlantic Coast Conference - Atlantic,36.2
Big 12 Conference,35.5
American Athletic Conference,25.9
Mountain West Conference - Mountain,24.1
Independent,21.6
Sun Belt Conference,20.8
Mid-American Conference - West,18.0
Conference USA - West,16.9
Mountain West Conference - West,16.4
Conference USA - East,16.2
Mid-American Conference - East,15.6
FCS,3.0
