Team,Strength,StandardDeviation,PointsMargin,AverageOpponentStrength,RushingYardsMargin,HomeFieldCorrection,GamesPlayed
missouri,40.41726599200933,11.649112820775507,22.454545454545453,15.478731083188059,38.36363636363637,-0.18181818181818182,11
nebraska,24.007576643836824,9.909460232567138,6.818181818181818,14.962506970698788,39.63636363636363,-0.2727272727272727,11
kansas,17.14801630188692,6.042165782103081,3.1818181818181817,13.88522480349329,14.0,-0.2727272727272727,11
colorado,2.3565222720921692,6.915479440080608,-9.090909090909092,14.952217588532797,-33.18181818181818,-0.18181818181818182,11
kansas-state,1.7093417454843338,6.316555142496437,-1.7272727272727273,11.638165639699105,-93.63636363636364,-0.09090909090909091,11
iowa-state,-1.2123508636222065,7.352276496786076,-10.727272727272727,13.264841807355843,-40.45454545454545,-0.09090909090909091,11
oklahoma,47.251897472374836,11.818270172274913,27.8,12.586226545970693,86.8,-0.1,10
texas,49.29024362227057,15.321701872217153,24.0,18.407890326916466,90.9090909090909,-0.18181818181818182,11
texas-tech,37.818032385287836,14.998077023422862,25.7,10.808644051815676,25.2,-0.2,10
oklahoma-state,39.66132456345164,12.871226379458314,17.818181818181817,10.214008497246208,143.27272727272728,-0.09090909090909091,11
baylor,18.372601897445968,13.766521190950709,-0.8181818181818182,16.317077648748274,47.36363636363637,-0.2727272727272727,11
texas-am,-2.977871957111227,8.227490404636944,-9.909090909090908,18.135321026959886,-120.81818181818181,-0.2727272727272727,11
florida,55.80768432125591,14.276233624909903,32.8,14.94981330212806,110.6,-0.3,10
georgia,27.034671125937326,9.386035396786811,7.363636363636363,14.983505132362808,56.0,0.0,11
south-carolina,12.55169311029364,8.234454396324447,3.090909090909091,12.621511388448148,-24.727272727272727,-0.2727272727272727,11
vanderbilt,17.47180564883416,6.588429902606367,1.5,14.657623234726502,15.7,0.0,10
tennessee,10.095637255118831,6.023366648455533,-2.1,13.60669022473577,-7.3,-0.2,10
kentucky,12.676759813090985,4.505374261069376,2.4545454545454546,11.647946994450207,-4.0,-0.2727272727272727,11
alabama,37.070047373224384,11.12895330832168,19.181818181818183,8.281629779951636,123.45454545454545,-0.18181818181818182,11
mississippi,27.37349371799786,12.121836506244389,9.4,11.700346329966187,84.5,-0.2,10
louisiana-state,20.374360847681324,6.183285254193616,7.2,8.40434290414036,76.1,-0.4,10
arkansas,2.705859821373342,10.814979453079703,-10.9,18.817160026690136,-52.7,-0.2,10
auburn,11.710659416549602,6.521990817424098,2.5454545454545454,9.038573798383853,14.545454545454545,-0.2727272727272727,11
mississippi-state,-0.1170995406147644,6.4325468051945265,-7.1,10.640847688461974,-43.7,0.0,10
florida-state,29.444960810903638,11.186103561978348,13.9,10.297819315743975,81.8,-0.4,10
boston-college,24.135562422472347,7.218338948021038,9.9,10.406626912908422,55.3,-0.2,10
maryland,8.558819462767381,8.432236684913825,2.5,6.264507670400224,7.1,-0.2,10
wake-forest,16.48698289529363,7.15464884100844,1.5,15.522700567286556,-6.4,0.0,10
clemson,17.222655452702092,8.968351707108678,8.0,12.12188494355468,-20.3,-0.3,10
north-carolina-state,-0.7160470099037857,12.003645777123687,-7.2,11.075829637171188,-45.3,-0.2,10
virginia-tech,21.691034435671355,8.446334329471165,3.0,13.503057742234528,57.2,0.1,10
georgia-tech,26.575488320332312,9.180436127802512,6.7,9.877428994224779,129.0,-0.2,10
north-carolina,21.99356876010722,16.081341655559655,10.9,13.266345294589112,-16.4,-0.2,10
miami-fl,21.087801916267676,8.66211099964924,7.3,12.344484164797281,26.8,-0.2,10
virginia,4.740572440549016,13.199649484597508,-5.4,15.678325602236509,-56.6,-0.2,10
duke,5.5248427079449485,11.980678092560307,-2.1,11.488478144654525,-36.6,-0.2,10
