Division,Score
Southeastern Conference - West,37.4
Pac-12 Conference - South,34.3
Pac-12 Conference - North,33.2
Southeastern Conference - East,32.8
Atlantic Coast Conference - Atlantic,32.3
Atlantic Coast Conference - Coastal,31.7
Independent,31.1
Big Ten Conference - East,30.7
Big 12 Conference,28.6
Big Ten Conference - West,27.8
Mountain West Conference - Mountain,23.9
American Athletic Conference,21.5
Mountain West Conference - West,20.3
Conference USA - East,18.2
Sun Belt Conference,16.7
Conference USA - West,16.1
Mid-American Conference - West,15.5
Mid-American Conference - East,14.3
FCS,7.2
