Division,Score
Southeastern Conference - West,50.8
Independent,39.3
Atlantic Coast Conference - Coastal,35.5
Pac-12 Conference - South,34.9
Southeastern Conference - East,32.6
Atlantic Coast Conference - Atlantic,31.1
Pac-12 Conference - North,30.5
Big Ten Conference - East,28.5
Big 12 Conference,28.2
Big Ten Conference - West,20.9
Mountain West Conference - Mountain,20.0
Conference USA - East,19.7
American Athletic Conference,15.9
Mid-American Conference - West,15.1
Conference USA - West,14.5
Sun Belt Conference,13.2
Mountain West Conference - West,13.1
Mid-American Conference - East,8.9
FCS,0.6
