Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
missouri,41,26,-15,31.2,20.3,8.9
georgia,5,6,1,55.2,47.1,16.8
florida,38,25,-13,33.0,27.6,9.8
south-carolina,57,54,-3,26.4,20.9,8.8
tennessee,54,62,8,26.7,21.6,8.6
kentucky,40,44,4,31.6,13.3,4.0
vanderbilt,104,110,6,8.6,-8.2,3.6
alabama,6,5,-1,53.3,44.4,15.0
mississippi-state,1,2,1,63.8,48.0,14.0
mississippi,4,4,0,57.8,40.5,12.4
auburn,2,1,-1,60.5,54.6,20.1
louisiana-state,20,29,9,39.8,30.8,11.9
texas-am,16,9,-7,41.7,33.8,14.4
arkansas,33,24,-9,35.8,39.9,16.1
oregon,14,20,6,44.8,32.3,13.0
stanford,28,35,7,36.7,29.4,10.2
washington,37,47,10,33.3,15.8,5.8
california,65,48,-17,23.0,6.6,4.6
oregon-state,59,64,5,24.9,5.6,1.8
washington-state,90,88,-2,12.5,2.5,6.6
arizona,24,16,-8,37.7,22.2,12.3
arizona-state,36,33,-3,33.3,18.2,8.3
ucla,26,18,-8,37.6,30.9,11.1
southern-california,27,38,11,36.8,29.6,11.5
utah,19,23,4,39.9,28.0,9.6
colorado,95,95,0,11.1,-4.0,4.6
florida-state,11,14,3,46.3,26.1,12.9
clemson,21,30,9,39.4,33.9,11.6
louisville,22,19,-3,38.9,29.4,10.0
boston-college,31,45,14,36.1,28.3,9.1
north-carolina-state,66,56,-10,21.8,8.3,9.4
syracuse,81,76,-5,15.9,8.0,7.7
wake-forest,109,109,0,8.1,-11.6,4.3
georgia-tech,15,7,-8,42.0,28.2,10.2
duke,32,41,9,36.0,19.6,5.9
north-carolina,83,86,3,15.0,5.6,3.6
pittsburgh,49,52,3,28.0,24.2,13.5
virginia-tech,35,34,-1,33.5,24.1,8.3
miami-fl,46,63,17,28.3,20.2,5.9
virginia,39,39,0,31.6,20.9,7.1
texas-christian,17,13,-4,41.0,29.8,9.7
baylor,3,3,0,58.1,40.8,15.4
kansas-state,25,27,2,37.6,24.6,7.8
oklahoma,8,8,0,48.0,36.8,14.3
west-virginia,51,55,4,27.5,14.0,6.5
texas,75,73,-2,19.0,15.7,7.5
oklahoma-state,42,42,0,31.0,12.5,10.9
texas-tech,100,98,-2,9.6,-7.7,3.5
kansas,103,107,4,8.9,-9.6,5.3
iowa-state,101,112,11,9.6,-7.9,11.4
ohio-state,10,11,1,46.6,38.1,12.9
michigan-state,12,17,5,46.0,33.9,10.5
maryland,60,59,-1,24.5,9.1,4.6
rutgers,47,49,2,28.3,8.7,6.8
michigan,68,74,6,20.9,14.2,10.3
penn-state,56,46,-10,26.4,12.2,5.3
indiana,63,50,-13,23.6,15.5,6.1
wisconsin,23,28,5,38.8,33.0,14.4
nebraska,13,15,2,45.1,32.6,12.2
minnesota,34,32,-2,35.2,18.5,6.5
iowa,48,57,9,28.2,8.6,3.1
