Division,Score
Southeastern Conference - West,54.1
Pac-12 Conference - South,36.4
Big Ten Conference - East,33.6
Independent,33.4
Southeastern Conference - East,32.6
Atlantic Coast Conference - Coastal,32.3
Atlantic Coast Conference - Atlantic,31.4
Big 12 Conference,31.3
Pac-12 Conference - North,30.6
Big Ten Conference - West,28.5
Mountain West Conference - Mountain,24.8
Conference USA - East,21.4
American Athletic Conference,17.3
Mid-American Conference - West,15.1
Conference USA - West,14.2
Sun Belt Conference,13.7
Mountain West Conference - West,13.3
Mid-American Conference - East,10.7
FCS,0.7
