Division,Score
Southeastern Conference - West,49.0
Big Ten Conference - East,32.9
Pac-12 Conference - South,31.9
Big 12 Conference,30.9
Atlantic Coast Conference - Atlantic,30.8
Atlantic Coast Conference - Coastal,30.1
Southeastern Conference - East,29.4
Big Ten Conference - West,27.9
Pac-12 Conference - North,27.7
Mountain West Conference - Mountain,27.2
Independent,26.5
Conference USA - East,21.2
Mid-American Conference - West,19.7
American Athletic Conference,17.3
Conference USA - West,16.8
Sun Belt Conference,15.9
Mountain West Conference - West,12.7
Mid-American Conference - East,9.0
FCS,0.7
