Division,Score
Southeastern Conference - West,55.3
Pac-12 Conference - South,36.5
Atlantic Coast Conference - Coastal,33.0
Big Ten Conference - East,32.8
Big 12 Conference,31.9
Southeastern Conference - East,31.4
Atlantic Coast Conference - Atlantic,30.7
Big Ten Conference - West,30.5
Mountain West Conference - Mountain,28.8
Pac-12 Conference - North,28.1
Independent,27.8
Conference USA - East,21.3
Mid-American Conference - West,19.2
Conference USA - West,18.9
American Athletic Conference,17.8
Sun Belt Conference,17.0
Mountain West Conference - West,13.8
Mid-American Conference - East,9.7
FCS,0.9
