Division,Score
Southeastern Conference - West,48.9
Pac-12 Conference - South,32.9
Big Ten Conference - East,32.9
Big 12 Conference,30.7
Atlantic Coast Conference - Atlantic,30.7
Atlantic Coast Conference - Coastal,30.0
Southeastern Conference - East,29.3
Pac-12 Conference - North,28.1
Big Ten Conference - West,27.8
Mountain West Conference - Mountain,26.8
Independent,26.0
Conference USA - East,21.1
Mid-American Conference - West,19.2
American Athletic Conference,17.4
Conference USA - West,16.3
Sun Belt Conference,15.8
Mountain West Conference - West,12.3
Mid-American Conference - East,9.1
FCS,0.7
