Division,Score
Southeastern Conference - West,48.9
Big Ten Conference - East,33.6
Pac-12 Conference - South,33.4
Big 12 Conference,30.7
Atlantic Coast Conference - Atlantic,30.7
Southeastern Conference - East,29.5
Atlantic Coast Conference - Coastal,29.4
Pac-12 Conference - North,28.1
Big Ten Conference - West,27.5
Mountain West Conference - Mountain,26.7
Independent,26.3
Conference USA - East,21.5
Mid-American Conference - West,18.6
American Athletic Conference,16.8
Conference USA - West,16.8
Sun Belt Conference,15.8
Mountain West Conference - West,11.9
Mid-American Conference - East,9.1
FCS,0.7
