Division,Score
Southeastern Conference - West,49.6
Big Ten Conference - East,33.4
Pac-12 Conference - South,33.3
Atlantic Coast Conference - Atlantic,31.3
Southeastern Conference - East,29.6
Atlantic Coast Conference - Coastal,29.5
Big 12 Conference,29.0
Pac-12 Conference - North,28.0
Big Ten Conference - West,27.3
Mountain West Conference - Mountain,26.6
Independent,26.2
Conference USA - East,21.4
Mid-American Conference - West,18.4
American Athletic Conference,16.7
Conference USA - West,16.6
Sun Belt Conference,15.8
Mountain West Conference - West,11.8
Mid-American Conference - East,9.0
FCS,0.7
