Team,Rank,PrevRank,DeltaRank,TeamScore,Strength,StandardDeviation
missouri,21,23,2,41.6,29.7,9.4
georgia,10,10,0,52.5,47.1,13.5
florida,34,35,1,33.5,33.6,12.2
south-carolina,57,57,0,25.4,18.7,7.7
tennessee,54,54,0,27.0,24.7,9.6
kentucky,77,78,1,19.1,14.3,7.6
vanderbilt,109,110,1,7.8,-4.2,6.7
alabama,1,1,0,69.9,55.6,16.5
mississippi-state,5,6,1,58.5,48.7,16.6
mississippi,11,11,0,52.0,46.3,14.7
auburn,14,14,0,48.4,48.1,15.5
louisiana-state,15,17,2,45.0,42.6,13.2
texas-am,38,43,5,32.3,25.6,10.7
arkansas,22,27,5,41.4,49.0,15.7
oregon,3,4,1,60.2,43.8,12.2
stanford,33,34,1,33.6,30.4,8.4
washington,42,42,0,30.0,21.6,8.3
california,76,76,0,19.4,15.1,8.1
oregon-state,86,85,-1,15.1,5.3,6.1
washington-state,102,102,0,9.9,2.4,8.5
arizona,29,29,0,36.2,21.9,10.1
arizona-state,28,28,0,38.2,24.8,9.4
ucla,20,19,-1,42.1,32.0,10.4
southern-california,25,24,-1,39.5,31.7,10.2
utah,31,31,0,35.6,25.8,9.3
colorado,107,107,0,8.0,2.6,9.4
florida-state,13,13,0,51.0,28.5,9.7
clemson,16,22,6,44.9,34.3,10.3
louisville,19,21,2,42.1,32.0,10.2
boston-college,37,37,0,32.6,32.3,11.4
north-carolina-state,44,45,1,29.2,20.3,8.4
syracuse,92,93,1,12.2,9.8,9.7
wake-forest,113,113,0,6.7,-7.8,5.8
georgia-tech,9,9,0,53.2,46.1,15.6
duke,40,40,0,31.3,19.1,9.7
north-carolina,83,83,0,16.9,6.6,7.5
pittsburgh,47,48,1,28.6,27.9,9.2
virginia-tech,52,53,1,27.3,22.2,7.9
miami-fl,56,56,0,26.8,27.7,13.1
virginia,69,70,1,22.1,21.3,8.8
texas-christian,4,3,-1,59.2,43.5,17.3
baylor,6,5,-1,58.4,42.6,12.3
kansas-state,23,20,-3,41.2,30.6,12.9
oklahoma,24,15,-9,40.7,39.9,13.5
west-virginia,46,38,-8,28.6,24.8,12.4
texas,72,63,-9,21.2,15.7,7.6
oklahoma-state,78,77,-1,18.4,7.5,7.8
texas-tech,100,98,-2,10.4,-1.6,7.1
kansas,111,111,0,7.1,-6.6,8.3
iowa-state,117,116,-1,4.9,-9.6,11.4
ohio-state,2,2,0,66.6,51.6,14.0
michigan-state,7,7,0,57.1,46.8,15.2
maryland,62,62,0,23.6,12.7,6.5
rutgers,61,61,0,23.8,11.1,8.7
michigan,68,69,1,22.2,21.4,8.9
penn-state,60,60,0,24.3,16.7,7.4
indiana,84,84,0,16.3,14.3,6.0
wisconsin,12,12,0,51.1,43.1,14.0
nebraska,27,26,-1,38.7,30.6,12.7
minnesota,32,32,0,35.3,27.1,10.9
iowa,58,58,0,24.7,14.7,8.8
illinois,89,89,0,13.6,-0.4,8.4
northwestern,81,82,1,17.2,10.0,7.7
purdue,98,99,1,10.6,4.7,15.6
navy,36,36,0,33.4,27.5,9.7
army,93,92,-1,12.1,2.9,4.5
brigham-young,41,41,0,30.6,22.8,9.5
notre-dame,48,47,-1,28.6,21.5,10.1
boise-state,17,16,-1,44.8,29.3,10.9
colorado-state,45,46,1,28.7,11.4,9.2
utah-state,43,44,1,29.9,15.6,8.5
air-force,30,30,0,36.1,21.8,10.2
new-mexico,97,97,0,11.2,0.5,11.6
wyoming,104,104,0,9.0,-5.3,8.2
san-diego-state,70,71,1,21.9,12.1,8.0
fresno-state,90,91,1,12.4,-1.3,7.4
nevada,74,74,0,20.7,9.8,11.2
hawaii,106,106,0,8.2,-6.1,6.4
san-jose-state,114,114,0,6.1,-9.8,7.5
nevada-las-vegas,125,125,0,1.5,-23.0,7.4
marshall,8,8,0,53.7,35.2,14.8
middle-tennessee-state,75,75,0,20.2,11.1,7.4
western-kentucky,71,72,1,21.8,7.8,5.8
old-dominion,95,95,0,11.4,-6.5,7.2
alabama-birmingham,65,66,1,23.0,16.8,9.8
florida-international,94,94,0,11.6,1.7,13.0
florida-atlantic,108,108,0,7.9,-4.0,9.9
louisiana-tech,35,33,-2,33.4,25.4,14.9
rice,66,68,2,22.5,8.9,8.5
texas-el-paso,79,79,0,18.3,5.2,14.1
texas-san-antonio,103,103,0,9.4,-4.2,8.4
north-texas,101,101,0,10.3,-1.9,5.6
southern-mississippi,115,115,0,5.9,-10.3,13.7
memphis,26,25,-1,39.0,25.9,9.5
cincinnati,50,50,0,27.7,13.6,9.6
central-florida,53,52,-1,27.2,12.7,6.4
east-carolina,51,51,0,27.6,14.9,7.6
houston,67,67,0,22.4,10.5,7.8
temple,80,80,0,17.9,6.5,6.2
south-florida,112,112,0,6.9,-11.0,5.9
tulane,110,109,-1,7.8,-4.3,7.6
tulsa,119,118,-1,4.0,-13.4,8.0
connecticut,121,121,0,3.5,-15.2,7.3
southern-methodist,129,128,-1,0.0,-29.3,7.7
bowling-green-state,87,87,0,14.6,-3.0,6.6
ohio,88,88,0,13.6,-2.1,8.2
buffalo,91,90,-1,12.4,-2.7,4.8
akron,99,100,1,10.6,-5.1,6.4
massachusetts,116,117,1,5.2,-12.6,11.3
miami-oh,120,120,0,3.6,-15.0,9.7
kent-state,122,122,0,3.1,-17.8,8.5
northern-illinois,39,39,0,31.4,14.2,8.1
toledo,55,55,0,26.9,13.7,7.9
western-michigan,64,65,1,23.3,10.3,18.3
central-michigan,82,81,-1,17.2,3.1,14.4
ball-state,96,96,0,11.3,-3.5,5.2
eastern-michigan,127,127,0,0.6,-26.9,9.8
georgia-southern,18,18,0,44.8,35.8,14.1
appalachian-state,59,59,0,24.7,14.7,16.5
louisiana-lafayette,49,49,0,28.3,14.5,11.9
texas-state,73,73,0,20.8,7.7,8.5
arkansas-state,63,64,1,23.5,12.4,8.4
south-alabama,85,86,1,15.2,3.0,7.9
louisiana-monroe,105,105,0,8.6,-6.4,7.7
troy,118,119,1,4.0,-16.5,9.1
new-mexico-state,124,124,0,1.6,-23.1,9.4
idaho,123,123,0,2.6,-16.4,11.6
georgia-state,128,129,1,0.0,-29.1,7.4
fcs,126,126,0,0.7,-21.4,8.3
