Division,Score
Southeastern Conference - West,54.8
Pac-12 Conference - South,38.7
Independent,38.1
Atlantic Coast Conference - Coastal,33.2
Big Ten Conference - East,33.1
Atlantic Coast Conference - Atlantic,33.0
Southeastern Conference - East,33.0
Pac-12 Conference - North,33.0
Big 12 Conference,30.2
Big Ten Conference - West,28.3
Mountain West Conference - Mountain,21.9
Conference USA - East,21.2
American Athletic Conference,19.2
Conference USA - West,16.4
Mid-American Conference - West,15.5
Sun Belt Conference,13.1
Mountain West Conference - West,12.6
Mid-American Conference - East,9.5
FCS,0.7
