Division,Score
Southeastern Conference - West,58.0
Pac-12 Conference - South,37.2
Big Ten Conference - East,33.2
Atlantic Coast Conference - Coastal,32.7
Atlantic Coast Conference - Atlantic,31.7
Big 12 Conference,31.6
Southeastern Conference - East,31.3
Big Ten Conference - West,30.5
Independent,28.9
Pac-12 Conference - North,28.2
Mountain West Conference - Mountain,26.3
Conference USA - East,23.5
Mid-American Conference - West,18.3
American Athletic Conference,18.0
Conference USA - West,17.5
Sun Belt Conference,16.0
Mountain West Conference - West,15.5
Mid-American Conference - East,9.7
FCS,0.9
