Division,Score
Southeastern Conference - West,57.6
Pac-12 Conference - South,36.1
Big Ten Conference - East,32.9
Big 12 Conference,32.6
Atlantic Coast Conference - Coastal,32.1
Atlantic Coast Conference - Atlantic,31.7
Southeastern Conference - East,31.5
Big Ten Conference - West,30.9
Independent,29.0
Mountain West Conference - Mountain,28.3
Pac-12 Conference - North,27.8
Conference USA - East,21.8
Mid-American Conference - West,19.3
Conference USA - West,18.7
American Athletic Conference,18.1
Sun Belt Conference,16.9
Mountain West Conference - West,14.2
Mid-American Conference - East,9.5
FCS,0.9
