Division,Score
Southeastern Conference - West,50.4
Pac-12 Conference - South,32.7
Big Ten Conference - East,30.9
Atlantic Coast Conference - Coastal,30.6
Southeastern Conference - East,30.4
Independent,30.2
Atlantic Coast Conference - Atlantic,29.5
Pac-12 Conference - North,29.2
Big 12 Conference,29.0
Big Ten Conference - West,26.9
Mountain West Conference - Mountain,22.1
Conference USA - East,19.8
American Athletic Conference,15.6
Mid-American Conference - West,13.0
Conference USA - West,12.9
Sun Belt Conference,12.5
Mountain West Conference - West,12.1
Mid-American Conference - East,8.8
FCS,0.5
