Division,Score
Southeastern Conference - West,46.6
Pac-12 Conference - South,41.6
Big Ten Conference - East,40.3
Independent,37.1
Pac-12 Conference - North,36.4
Southeastern Conference - East,36.2
Atlantic Coast Conference - Coastal,35.7
Atlantic Coast Conference - Atlantic,33.7
Big 12 Conference,32.5
Big Ten Conference - West,29.4
Conference USA - East,26.8
Mountain West Conference - Mountain,26.5
American Athletic Conference,25.8
Mid-American Conference - West,25.1
Mountain West Conference - West,22.8
Sun Belt Conference,20.9
Conference USA - West,18.9
Mid-American Conference - East,17.3
FCS,1.7
