Division,Score
Southeastern Conference - West,52.4
Pac-12 Conference - South,35.7
Big Ten Conference - East,33.7
Southeastern Conference - East,32.7
Atlantic Coast Conference - Coastal,32.3
Big 12 Conference,31.9
Big Ten Conference - West,30.5
Atlantic Coast Conference - Atlantic,30.1
Mountain West Conference - Mountain,28.9
Pac-12 Conference - North,28.1
Independent,27.0
Conference USA - East,21.8
Mid-American Conference - West,19.2
Conference USA - West,18.6
American Athletic Conference,17.5
Sun Belt Conference,16.2
Mountain West Conference - West,13.2
Mid-American Conference - East,10.2
FCS,0.9
