Division,Score
Southeastern Conference - West,53.7
Pac-12 Conference - South,37.0
Big Ten Conference - East,33.7
Atlantic Coast Conference - Coastal,32.2
Atlantic Coast Conference - Atlantic,31.7
Southeastern Conference - East,30.9
Big 12 Conference,30.3
Pac-12 Conference - North,29.6
Independent,28.9
Big Ten Conference - West,28.6
Mountain West Conference - Mountain,24.1
Conference USA - East,21.5
American Athletic Conference,17.3
Mid-American Conference - West,15.7
Mountain West Conference - West,15.0
Conference USA - West,14.8
Sun Belt Conference,14.5
Mid-American Conference - East,10.0
FCS,0.8
