Conference,Score
Southeastern Conference,42.5
Big Ten Conference,32.1
Big 12 Conference,31.9
Pac-12 Conference,31.9
Atlantic Coast Conference,31.2
Independent,27.0
Mountain West Conference,21.0
Conference USA,20.3
American Athletic Conference,17.5
Sun Belt Conference,16.2
Mid-American Conference,14.3
FCS,0.9
