Division,Score
Southeastern Conference - West,55.4
Pac-12 Conference - South,37.2
Independent,35.8
Pac-12 Conference - North,32.9
Atlantic Coast Conference - Coastal,32.9
Big Ten Conference - East,32.7
Southeastern Conference - East,32.7
Big 12 Conference,32.0
Atlantic Coast Conference - Atlantic,31.8
Big Ten Conference - West,30.7
Mountain West Conference - Mountain,22.2
Conference USA - East,22.1
American Athletic Conference,18.1
Conference USA - West,15.4
Mid-American Conference - West,15.3
Mountain West Conference - West,13.7
Sun Belt Conference,13.3
Mid-American Conference - East,10.8
FCS,0.8
