Division,Score
Southeastern Conference - West,48.7
Independent,40.3
Pac-12 Conference - South,38.9
Southeastern Conference - East,34.8
Atlantic Coast Conference - Coastal,33.9
Big Ten Conference - East,30.4
Atlantic Coast Conference - Atlantic,30.0
Pac-12 Conference - North,29.5
Big 12 Conference,27.2
Big Ten Conference - West,23.2
Mountain West Conference - Mountain,19.8
Sun Belt Conference,19.1
Conference USA - East,19.1
American Athletic Conference,17.2
Mid-American Conference - West,16.6
Conference USA - West,16.3
Mountain West Conference - West,14.5
Mid-American Conference - East,10.5
FCS,0.5
