Division,Score
Southeastern Conference - West,49.8
Pac-12 Conference - South,35.2
Big Ten Conference - East,33.0
Big 12 Conference,32.0
Atlantic Coast Conference - Atlantic,31.7
Atlantic Coast Conference - Coastal,31.7
Southeastern Conference - East,31.0
Big Ten Conference - West,30.3
Pac-12 Conference - North,29.3
Mountain West Conference - Mountain,28.8
Independent,27.5
Conference USA - East,22.1
Mid-American Conference - West,20.1
American Athletic Conference,18.3
Conference USA - West,17.8
Sun Belt Conference,16.6
Mountain West Conference - West,14.3
Mid-American Conference - East,10.0
FCS,0.9
