Division,Score
Southeastern Conference - West,49.1
Big Ten Conference - East,32.9
Pac-12 Conference - South,31.9
Big 12 Conference,30.9
Atlantic Coast Conference - Atlantic,30.9
Atlantic Coast Conference - Coastal,30.2
Southeastern Conference - East,29.4
Big Ten Conference - West,27.9
Pac-12 Conference - North,27.8
Mountain West Conference - Mountain,27.3
Independent,26.7
Conference USA - East,21.3
Mid-American Conference - West,19.8
American Athletic Conference,17.3
Conference USA - West,16.9
Sun Belt Conference,15.9
Mountain West Conference - West,12.8
Mid-American Conference - East,9.1
FCS,0.7
