Division,Score
Southeastern Conference - West,50.5
Pac-12 Conference - South,34.9
Big Ten Conference - East,32.6
Southeastern Conference - East,31.7
Atlantic Coast Conference - Coastal,31.3
Big 12 Conference,31.2
Big Ten Conference - West,30.1
Atlantic Coast Conference - Atlantic,29.7
Mountain West Conference - Mountain,28.2
Pac-12 Conference - North,27.9
Independent,27.3
Conference USA - East,21.9
Mid-American Conference - West,19.2
American Athletic Conference,17.6
Conference USA - West,17.3
Sun Belt Conference,15.5
Mountain West Conference - West,13.2
Mid-American Conference - East,9.7
FCS,0.8
