Conference,Score
Southeastern Conference,35.1
Pac-12 Conference,33.8
Atlantic Coast Conference,32.0
Independent,31.1
Big Ten Conference,29.2
Big 12 Conference,28.6
Mountain West Conference,22.1
American Athletic Conference,21.5
Conference USA,17.2
Sun Belt Conference,16.7
Mid-American Conference,14.9
FCS,7.2
