Conference,Score
Southeastern Conference,39.1
Big 12 Conference,30.7
Pac-12 Conference,30.5
Atlantic Coast Conference,30.4
Big Ten Conference,30.4
Independent,26.0
Mountain West Conference,19.5
Conference USA,18.9
American Athletic Conference,17.4
Sun Belt Conference,15.8
Mid-American Conference,13.8
FCS,0.7
